informant,role_type,time,passage,provisional_logic,cultural_schema,dominant_logic,final_coding
R,Legacy,1899-12-31 11:25:00,"I'll try to get enough capacity so I can send people out…(Goulds story from younger days….""maybe it started with a particular problem…"" but also ask, ""what else is bigging you?"". By spending enough time with customers we would figure out is there a better way to do this?)",we don't have enough resources to uncover customer pain points,WE DON'T SPEND ON R&D,FINANCIAL PERFORMANCE FIRST,
R,Legacy,1899-12-31 12:25:00,The commercial teams are trying to meet today's sales and orders objectives. They are very near-term focused.,sales is short term focused,ALL THAT REALLY MATTERS IS SHORT TERM RESULTS,FINANCIAL PERFORMANCE FIRST,
R,Legacy,1899-12-31 13:10:00,marketingteams inside sales teams should be able to work with my team…and they don't have capacity either…you just have to invest! You need capacity to go take a look…,if we are going to innovate we need more capacity! ,WE DON'T SPEND ON R&D,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,
R,Legacy,1899-12-31 13:43:00,let's have a little slack capacity we don't decide to throw out the first time the economy turns down,if we are going to innovate we need more capacity! ,ALL THAT REALLY MATTERS IS SHORT TERM RESULTS,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,
R,Legacy,1899-12-31 13:54:00,because yoy are a stockholder controlled unit…a lot of times we will tighten the belt around some of these things…these we try to put in place get pulled back,we are controlled by the shareholder and financial interests,ALL THAT REALLY MATTERS IS SHORT TERM RESULTS,FINANCIAL PERFORMANCE FIRST,
R,Legacy,1899-12-31 14:12:00,it’s a commitment to the long term…this has certainly showed up in some of the surveys…,we need to be more long term,ALL THAT REALLY MATTERS IS SHORT TERM RESULTS,FINANCIAL PERFORMANCE FIRST,
R,Legacy,1899-12-31 14:32:00,ya (we optimize the short trerm too much)…we all agree we have to meet in the middle,we need to meet in the middle,,,
R,Legacy,1899-12-31 14:43:00,"we are going to get more savings by managing processes, footprint, to fund innovation",better efficiency will create margins,IF WE WERE MORE EFFICIENT WE WOULD HAVE MORE CAPITAL TO INVEST,RULES ,
R,Legacy,1899-12-31 15:24:00,i dont think i've made the case on this thing…now that we are starting to catch up vs our competition…now maye we can have a few resources to go do this…,now that I've met my goals I can ask for more resources,IF I PLAY BY THE RULES I WILL GET MORE RESOURCES,RULES ,
R,Legacy,1899-12-31 16:18:00,"we need people who's full time job is to look at pain points…to see what the pain points really look like, by process or market segment…",if we had more resources we would uncover true pain points,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,CERTAINTY,
R,Legacy,1899-12-31 16:56:00,we know climate change and energy efficiency are real needs ,we do know what the market needs,INNOVATION IS ANTICIPATING TRENDS,UNK,
R,Legacy,1899-12-31 17:05:00,what we don't know is how the customer is solving it,by being close to the customer we can figure out what they really need,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,CERTAINTY,
R,Legacy,1899-12-31 18:00:00,(beta vs vhs cartridge analogy),I don't know what technology is going to win ,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,CERTAINTY,
R,Legacy,1899-12-31 19:00:00,what areas are likely to win out in climate change..and what products can we put in to that,we have to get to the detail to make the right decision,MORE DATA MINIMIZES UNCERTAINTY,CERTAINTY,
R,Legacy,1899-12-31 20:24:00,by looking at companies that use water source heat pumps we can put our circulaters into them… that's clean as a whistle.,we are making a bet on clean technology…which helps meet our sustainability goals…,IT IS GOOD TO ALIGN TO CORPORATE GOALS,RULES ,
R,Legacy,1899-12-31 21:10:00,"but even if we have a nice opportunity, we haven't really sent people out to the 10 top WSHP companies to understand how our product might be used…we haven't gotten that far…",we need resources to innovate,WE DON'T SPEND ON R&D,FINANCIAL PERFORMANCE FIRST,
R,Legacy,1899-12-31 22:40:00,we have made a bet in our marketing plan…and then we'll see…but we need a little more slack capacity,we need resources to innovate,WE DON'T SPEND ON R&D,FINANCIAL PERFORMANCE FIRST,
R,Legacy,25:54,before Microsoft and Apple did that (dictated to the market) they saw enough trends to see where the market was going to go…they did their homework,to anticipate a market you need to do your homework,MORE DATA MINIMIZES UNCERTAINTY,CERTAINTY,
R,Legacy,26:43,in our space there are a lot more companies and so we can't dictate terms to the market…things can go in different directions…,because there are too many players we can't tell the market what to do,THE MARKET IS RISKY - WE CAN’T MOVE FASTER THAN OUR CUSTOMERS,CERTAINTY,
R,Legacy,26:58,"VOC can be misleading…we need to ask the next set of questions…we need to ask different kinds of question…e.g. the customer's real problem is storm water, not GPM",by abstracting away from what the customer is asking to the underlyingh issue we can innovate,INNOVATION IS SEEING THINGS THE CUSTOMER DOESN’T SEE,(UNIQUE),
R,Legacy,28:17,Goulds was innovative: we were always talking to the maintenance people because they know what is really going on,the people closest to the issue know what is going on,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,CERTAINTY/FIRST-HAND KNOWLEDGE,
R,Legacy,28:46,"if I did this, they may might really like That…you have to be in it to figure it out",the people closest to the issue know what is going on,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,CERTAINTY/FIRST-HAND KNOWLEDGE,
R,Legacy,31:00,sales people have different filters…sales people are wired on relationship and selling…not on solving,sales is not wired on solving,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,(UNIQUE),
R,Legacy,32:47,"digital is just a tool….lets go out and find pay points…we're trying to push digital out, rather than saying…if we could cut customer costs in half…but we're not doing that",we need to innovate around real customer pain points,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,CERTAINTY,
R,Legacy,33:50,what is the problem are we really solving? The roadmap should be what problems are we trying to solve for customers that they really value,we need to innovate around real customer pain points,WE NEED TO BE SURE WE ARE SOLVING REAL CUSTOMER  PROBLEMS,CERTAINTY,
R,Legacy,36:38,lets really invest time to find out what our customers and key markets would like us to do for them… and then digitize it (connected solutions),we need to innovate around real customer pain points,"CUSTOMERS NEED INSIGHT, NOT DATA",CERTAINTY,
R,Legacy,37:41,if we made ourselves more productive we may be able to take those solutions to the market,we could digitize ourselves and take those solutions to the market,IF WE WERE MORE EFFICIENT WE WOULD HAVE MORE CAPITAL TO INVEST,RULES ,
R,Legacy,38:21,I would link up with Amazon to get all our equipment on line…that wolud be most helpful for us,the market is ready for e-commerce,INNOVATION IS DOING SOMETHING WE ARE PRETTY SURE WILL SUCCEED  (DONE BEFORE; BASED ON IN DEPTH INSIGHT),CERTAINTY,
R,Legacy,39:00,I'm not sure our markets are ready for 'I'm going to turn over my wastewater treatment plant to you and you optimize my cost for that…',our markets are not ready for more far-out solutions,INNOVATION IS DOING SOMETHING WE ARE PRETTY SURE WILL SUCCEED  (DONE BEFORE; BASED ON IN DEPTH INSIGHT),CERTAINTY,
R,Legacy,40:00,the world is moving quick; I would be trying to work on (ecommerce) faster,we need to move faster in new areas,INNOVATION IS DOING SOMETHING WE ARE PRETTY SURE WILL SUCCEED  (DONE BEFORE; BASED ON IN DEPTH INSIGHT),CERTAINTY,
R,Legacy,41:20,people want to engage with humans in a buying decision…the generation that has the buying power is used to buying that way…there is a social aspect to this,people are slow to change; trends are generational,INNOVATION IS DOING SOMETHING WE ARE PRETTY SURE WILL SUCCEED  (DONE BEFORE; BASED ON IN DEPTH INSIGHT),CERTAINTY,
R,Legacy,42:21,"Xylem doesn’t move fast, and that's a problem",we are too slow,WE ARE TOO SLOW,CERTAINTY,
R,Legacy,42:38,lets make ourselves more productive to free up the capital to go be faster on the things that matter,if we were more efficient we would have more capital to innovate with (i.e. internal digitization),IF WE WERE MORE EFFICIENT WE WOULD HAVE MORE CAPITAL TO INVEST,RULES ,
R,Legacy,43:27,if I had the ecommerce thing…is there a certain segment personnel I could free up?,if we were more efficient we would have more capital to innovate with (i.e. internal digitization),IF WE WERE MORE EFFICIENT WE WOULD HAVE MORE CAPITAL TO INVEST,RULES ,
R,Legacy,44:42,whats the market really ready for? We should work at the pace at which the marke is ready,we can't go faster than our customers,THE MARKET IS RISKY - WE CAN’T MOVE FASTER THAN OUR CUSTOMERS,CERTAINTY,
A,Digital,7:15,(operating within XPD) would not be beneficial for what we do,being entrepreneural is important for our service (predictive maintenance),ENTREPRENEURSHIP AND RISK TAKING ARE ESSENTIAL FOR INNOVATION,ENTREPRENEUR,
A,Digital,8:11,I took it as a challenge to take predictive maintenance idea and make it something practical,big ideas need practical realization,EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,,
A,Digital,9:54,"starting point with product development is always telling the customer what the solution (i.e.how do we make the sensor better to create the data, etc)",products are designed with known solutions in mind (services are not),DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
A,Digital,10:26,what brings value to the customer? The xylem solutions stop at the problem stage. If I can show you the data you (customer) can come up with the solution yourself,data alone doesn’t work because customers are pump people (not sophisticated)…,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
A,Digital,11:58,data means nothing. What I need is insight or wisdom (as customer),customers need insight,"CUSTOMERS NEED INSIGHT, NOT DATA",,
A,Digital,12:11,tell people in plain English what is the problem and what they can do about it. It should be our job to do everything that is necessary to enable the customer to react.,"customers need insight, and we need to make it easy for them","CUSTOMERS NEED INSIGHT, NOT DATA",,
A,Digital,12:28,At xylem we stop at the data or information stage,"we provide products, not solutions",DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
A,Digital,14:57,my role is to run this little start up,we are entrepreneurial,ENTREPRENEURSHIP AND RISK TAKING ARE ESSENTIAL FOR INNOVATION,ENTREPRENEUR,
A,Digital,16:21,I subsribe to Agile because it jells with my scientific background,Agile is more scientific,EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,THE SCIENTIFIC METHOD,
A,Digital,17:00,we don't build monolithic solutions for everyone…we look for where what we do has a big impact (wastewater)…where we can demonstrated the value of it,we have to have impact (big ideas need practical solutions),EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,,
A,Digital,17:21,in the long run everything comes down to money…everything will have monetary impact,impact is measured in money,EVERYTHING COMES DOWN TO MONEY,FINANCIAL PERFORMANCE FIRST,
A,Digital,17:33,people's happiness is equated with productivity and all of a sudden you get to the dollar,happiness (customer) leads to profit (Xylem),EVERYTHING COMES DOWN TO MONEY,FINANCIAL PERFORMANCE FIRST,
A,Digital,17:50,value is about how the customer can use their funds and their people to keep their equipment running well,customers need insight to run their businesses better,"CUSTOMERS NEED INSIGHT, NOT DATA",,
A,Digital,18:10,making it better,value is about making it better,VALUE IS ABOUT MAKING THINGS BETTER,FINANCIAL PERFORMANCE FIRST,
A,Digital,19:11,helping our customers break away from existing customs of maintenance (waiting until its broken)…to something that is more efficient and sustainable,the consequences of waiting are severe,"CUSTOMERS NEED INSIGHT, NOT DATA",,
A,Digital,20:49,our customer's mentality is often a hurdle,the water industry is conservative,WE HAVE TO OVERCOME THE CONSERVATISM OF OUR CUSTOMERS,,
A,Digital,21:12,"something that sort of works, putting something in the customer's hands always has the implications that is not finished",we need to find customers who are not conservative ,WE HAVE TO OVERCOME THE CONSERVATISM OF OUR CUSTOMERS,,
A,Digital,21:32,figuring what things break when they use it…that doesn't work with a lot of our customers,we need to find customers who are not conservative ,WE HAVE TO OVERCOME THE CONSERVATISM OF OUR CUSTOMERS,,
A,Digital,24:00,it took us much more time to get the right equipment…what we do needs data,we need equipment to get the data in order to get to prediction,"CUSTOMERS NEED INSIGHT, NOT DATA",,
A,Digital,26:25,where do we sit?,it's very hard to use Xylem resources,WE ARE DIFFERENT; EXISTING MANAGEMENT PROCESSES WON'T WORK FOR US,,
A,Digital,26:31,its easier to be in charge with contractors,its easier to be in charge with contractors,WE ARE DIFFERENT; EXISTING MANAGEMENT PROCESSES WON'T WORK FOR US,,
A,Digital,27:15,we are nobodys problem because we don't have a home,we don't follow the rules,WE ARE DIFFERENT; EXISTING MANAGEMENT PROCESSES WON'T WORK FOR US,,
A,Digital,27:40,it works in our favor that we don't have to comply with XPD,it is good to be nimble,WE ARE TOO SLOW,,
A,Digital,28:17,we need to show success against customer outcomes,"showing quick success keeps our ""investors"" happy",WE ARE TOO SLOW,,
A,Digital,29:00,(story about finding sales engineer who had algorithm),its good to be nimble and find resources across Xylem in a self organized way,WE NEED TO BE FAST AND NIMBLE,,
A,Digital,29:12,(doing what we do) would have been very difficult in XPD,normal development processes are too constraining,WE ARE DIFFERENT; EXISTING MANAGEMENT PROCESSES WON'T WORK FOR US,,
A,Digital,29:33,"I do not know what the 5 years margin is, nor do I have any intention of making up that number",normal development processes force artificial constraints (because there is no real answer),WE ARE DIFFERENT; EXISTING MANAGEMENT PROCESSES WON'T WORK FOR US,,
A,Digital,30:03,nobody knows (whaat customers value until you put it in their hands),"we need to get actual customer data on our solutions, and quickly, to prove our solution and show value",EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,,
A,Digital,30:11,"if I can test it, I will test it",we need actual customer data to test assumptions and be more scientific about what we are doing,EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,,
A,Digital,30:32,this is where it is beneficial to not be locked into the rules,normal development processes are too constraining,WE ARE DIFFERENT; EXISTING MANAGEMENT PROCESSES WON'T WORK FOR US,,
A,Digital,30:46,we are nobodys problem because we sit outside the rules,"we have to improvise to get what we need (lawyers, accountants)",WE ARE DIFFERENT; EXISTING MANAGEMENT PROCESSES WON'T WORK FOR US,,
A,Digital,32:30,operating in a start up way is very different than the way Xylem operates…we need to be cross-functional…they all work very different than us…(xylem wants proof; I say) 'you are part of the proof',we are fundamentally different; we are entrepreneurial,WE ARE DIFFERENT; EXISTING MANAGEMENT PROCESSES WON'T WORK FOR US,,
A,Digital,34:05,one of the reasons why we are successful is because I have a relatively good network,you need a good network to succeed here,,,
A,Digital,35:35,we will have a hard time changing our customers overnight…,change is hard,WE HAVE TO OVERCOME THE CONSERVATISM OF OUR CUSTOMERS,,
A,Digital,35:45,there are many reasons why our customers behave in an ineffective way…our solutuon may not be a magic wand…but can be a catalyst,success means not involving the customer,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
A,Digital,37:16,we can move the customer away from 'break-fix' because they don't have to be involved (in predictive solution),success means not involving the customer,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
A,Digital,37:30,the long term and most successful route is when the customer is buying the service,the future is service (outcomes),DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
A,Digital,37:55,"if it doesn’t work we shall make the pump better (response of product engineer in Sweden)…but if someone comes up with a better way…not moving water maybe (e.g.), then what?",we need to ensure our future by selling services,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
A,Digital,38:46,we need to ride on the coat-tails of existing digitily interested customer (to succeed short term),customers who are accepting of innovation and iteration will help us succeed,EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,,
A,Digital,39:35,ideal customer is not too small because we want to have (data from) larger pumps,larger customers give us better economic value data,WE HAVE TO OVERCOME THE CONSERVATISM OF OUR CUSTOMERS,,
A,Digital,40:18,ideal larger customers have a drive to innovate somewhere,larger customers are accepting of innovation,WE HAVE TO OVERCOME THE CONSERVATISM OF OUR CUSTOMERS,,
A,Digital,40:59,maybe we are a little opportunistic,we need to be opportunistic,WE NEED TO BE FAST AND NIMBLE,,
A,Digital,41:21,"if it gets us through a year or two of successful trial, then we have a way to demonstrate, testing…","we need to get actual customer data on our solutions, and quickly, to prove our solution and show value",EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,,
A,Digital,41:42,we need to learn a lot…so we need to work with those customers to get practical data,we learn from working closely with our customers,WE NEED GOOD CUSTOMER DATA TO INNOVATE,,
A,Digital,42:15,if they are not interested in innovation they are typically not willing,digital early adopters will help us succeed,WE HAVE TO OVERCOME THE CONSERVATISM OF OUR CUSTOMERS,,
A,Digital,43:11,very likely nothing will have come to fruition but we will have tried,customers who are accepting of innovation and iteration will help us succeed,EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,,
A,Digital,43:32,innovative customers want to project that image of innovation,we need to find win-win with our customers,WE HAVE TO OVERCOME THE CONSERVATISM OF OUR CUSTOMERS,,
A,Digital,44:33,in the ideal scenario….its the data I need…what is the data we want to deliver to customers?,we need the right data to prove value,WE NEED GOOD CUSTOMER DATA TO INNOVATE,,
A,Digital,45:08,this is startup behavior.This is not xylem behavior.,we need to be opportunistic,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
A,Digital,45:36,…and it rubbed some people the wrong way (jealousy),being entrepreneural is a threat,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
A,Digital,46:32,now we have strategy review with Sai…,we don't want bureaucracy,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
A,Digital,46:51,the very honest answer is 'I have no idea….',honesty might be dangerous here (we don't know),DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
A,Digital,47:18,strategy is often equated with plan,plans are constraining,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
A,Digital,48:55,I want to get to the point where this is in use with some customers…it is functional and it provides value to at least some customers…that is the test I want to make,I want to prove this theory,EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,,
A,Digital,49:50,personal success is around getting to this inflection point…it is a functional thing,I want to prove this theory,EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,,
A,Digital,50:30,i took the plunge to do this role…,I am opportunistic,EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,,
A,Digital,52:15,learning in its own is a value to me,leaning is a worthy goal,EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,,
A,Digital,53:47,"there us value in formalizing the start up approach…more officially sanctioned, in giving a particular scope (to go incubate)",the method matters - we need to sanction incubation and the entrepreneurial approach,EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,,
A,Digital,56:00,"trying to something radically different (to the norm), when you get down to it, is often really hard",being entrepreneural has a cost,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
A,Digital,56:48,i believe in the Agile way of working,Agile is better (it's not micromanaging),EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,,
A,Digital,58:07,"you cannot have the normal procedures intruding on the (agile, entrepreuneial) approach because it removes a lot of the benefits",Xylem is bureuacratic and anti entrepreneur,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
A,Digital,58:22,the really hard thing (here) will be finding people willing to stick their neck out,taking risks is hard here,WE ARE AFRAID TO TAKE RISKS,,
A,Digital,58:50,I make decisions that are not always popular with the stakeholders…but its very clear 'I am making the decisions'…that does not work with a lot of people,"in a start up you have to be responsible, and it has to be OK",START UPS DEMAND ACCOUNTABILITY,,
A,Digital,59:09,"In Xylem, if I follow the process I've done my bit, I am not responsible",process precludes accountability and risk taking,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
A,Digital,59:45,"I'm being protected to act this way…I may be wrong, but not making a decision is definitely the wrong decision",to do a start-up you need protection,"CUSTOMERS NEED INSIGHT, NOT DATA",,
A,Digital,1:00:35,"it is much easier when you are a hardware pump company to create certainty, and a lot of the things they do are incremental",incrementalism and certainty don't work for a startup,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
A,Digital,1:01:19,breakthrough innovation here is incremental,Xylem doesn’t do  breakthrough innovation,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
H,Hybrid,1:01,to make a decision I have to involve many people,because I have no budget I can't make a decision myself,INNOVATION REQUIRES RESOURCES,,
H,Hybrid,1:08,hard to get budget,because I have no budget I can't make a decision myself,INNOVATION REQUIRES RESOURCES,,
H,Hybrid,1:18,processes related to getting multiple people working together,because of a matrix organization its not clear where final decision lies,MATRICES HIDE ACCOUNTABILITY ,,
H,Hybrid,3:02,Xylem is not willing to invest in innovation…there is no route to even small pots of money to try out ideas,if we could experiment even with small ideas we'd be more innovative,EXPERIMENTATION AND ITERATION IS HOW YOU PROVE IDEAS AND BUILD TRUST ,EXPERIMENT AND ITERATE,
H,Hybrid,3:11,our R&D teams are not valued,>,R&D IS NOT VALUED,,
H,Hybrid,3:20,"we should trust our own people, and their decision making",we don't trust our people to take responsibility,WE DON'T TRUST OUR TECHNICAL PEOPLE,(RULES),
H,Hybrid,3:55,there is a lack of acceptance for some projects not to work,we can't fail,FAILURE IS BAD,CERTAINTY,
H,Hybrid,4:00,there is a lack of faith that we'd ever get to anything good,we don't trust our people to take responsibility,WE DON'T TRUST OUR TECHNICAL PEOPLE,,
H,Hybrid,4:11,we want to buy in ready made solutions and are naïve about how ready they are,XYL does innovation by M&A,INNOVATION IS BEST DONE BY OTHERS (VIA M&A),,
H,Hybrid,4:26,shareholders are in it for the short term rather than the long term,>,ALL THAT REALLY MATTERS IS SHORT TERM RESULTS,FINANCIAL PERFORMANCE FIRST,
H,Hybrid,6:29,we can do good interesting technical work that can fail,XPD kills innovation,WE ARE DIFFERENT; EXISTING MANAGEMENT PROCESSES WON'T WORK FOR US,,
H,Hybrid,7:50,"the only pots of money I have seen are in the 10,000 mark which gets you nowhere",you need investment to innovate,INNOVATION REQUIRES RESOURCES,,
H,Hybrid,8:53,we largely focus on doing product development work and where there is a mechanism in place we do innovation stuff,Xylem doesn’t do  breakthrough innovation,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
H,Hybrid,9:28,XPD…doesn’t require massive technical risk,XPD kills innovation,WE ARE DIFFERENT; EXISTING MANAGEMENT PROCESSES WON'T WORK FOR US,,
H,Hybrid,10:06,next generation products are not innovation,Xylem doesn’t do  breakthrough innovation,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
H,Hybrid,13:19,Sensus is doing (interesting) R&D work…,Xylem doesn’t do  breakthrough innovation,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
H,Hybrid,13:34,…because they get a higher percentege of R&D,>,INNOVATION REQUIRES RESOURCES,,
H,Hybrid,13:42,it's not big picture stuff (we don't do big picture innovation),Xylem doesn’t do  breakthrough innovation,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
H,Hybrid,13:53,"a particular struggle: Global Practice Manager story:  what should Xylem do to sell wastewater networks? identifies that you need a cross-company effort, but there is no mechanism to do that…so he presents it…but SLT hires McKinsey to come up woth the same answer…and no one could work out how to make this happen over 18 mos…he worked out what needed doing in 3 months...there is no mechanism to make it happen",we don't have any internal mechanisms to deliver really innovative things,WE NEED TO OPERATE CROSS-FUNCTIONALLY TO DELIVER TRULY INNOVATIVE SOLUTIONS,,
H,Hybrid,17:40,people got fed up and left,its too difficult to make change happen here,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
H,Hybrid,17:52,i would have given them some money,you need investment to innovate,INNOVATION REQUIRES RESOURCES,,
H,Hybrid,17:58,I would have given them the authority,we don't trust our people to take responsibility,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
H,Hybrid,18:08,ideally you would form a team that came from different parts of the business to deliver that particular solution,solutions require cross-functional effort,DOING SOMETHING NEW REQUIRES OPERATING IN A DIFFERENT WAY,ENTREPRENEUR,
H,Hybrid,18:23,you can't do it for free and you can't do it on your own,you need resources to innovate,INNOVATION REQUIRES RESOURCES,,
H,Hybrid,19:01,what we need to do is think in terms of how to solve customer problems…what bits do we need to solve this customer problems…(and all those technologies and products exist),we need to think cross-functionally to develop truly innovative solutions,WE NEED TO OPERATE CROSS-FUNCTIONALLY TO DELIVER TRULY INNOVATIVE SOLUTIONS,,
