Point_ID,UMAP_1,UMAP_2,Dominant_Logic,Passage
76,1.0103778,1.1195232,CERTAINTY,we are in a bad hybrid situation... We need to decide...either become one company or not...or divide...
77,3.6241527,0.96979624,ENTREPRENEUR,the very honest answer is 'I have no idea….'
78,4.7350163,3.7400343,ENTREPRENEUR,the long term and most successful route is when the customer is buying the service
79,5.1424174,4.126717,CERTAINTY,"I can make the case that a 10-15M investment will give you 100M, but that is not a risk anyone will ..."
80,2.9785867,4.344585,ENTREPRENEUR,"it is much easier when you are a hardware pump company to create certainty, and a lot of the things ..."
81,1.2277248,6.5046983,CERTAINTY,customer systems are the next stage for us to figure out innovative solutions…we're doing it this wa...
82,2.0142334,2.0551262,CERTAINTY,I don't sell what we don't have
83,-0.08923951,3.3734848,CERTAINTY,"even if you figure out what companies are the right ones to invest in, you still have to look at pai..."
84,5.0630407,4.2148275,FINANCIAL PERFORMANCE FIRST,no one wants to put any investment into something that doesn’t achieve a return in 12-24 months
85,8.5889435,5.183463,CERTAINTY,...that's the risk / uncertainty... We don't dare to step outside normal ways of doing things
86,1.2425154,6.6791253,CERTAINTY,I'm not sure our markets are ready for 'I'm going to turn over my wastewater treatment plant to you ...
87,1.7316215,2.1297295,CERTAINTY,what are we missing in the unaddressd 5B? (we don't really know our markets)
88,1.1506536,1.1801856,CERTAINTY,"you have to have a good spread across the whole lot (horizon 1, 2 and 3)"
89,0.30865008,2.180777,ENTREPRENEUR,we can move the customer away from 'break-fix' because they don't have to be involved (in predictive...
90,11.375007,1.7966073,ENTREPRENEUR,(operating within XPD) would not be beneficial for what we do
91,1.2864746,5.5334806,CERTAINTY,we need to have a digital enteroprise mentality from the top down
92,7.9165134,4.6052384,ENTREPRENEUR,I would have given them the authority
93,1.5193218,1.7130587,CERTAINTY,we need to pick the spot where we think (the need) is going to be real (real solutions)
94,-0.10691115,3.4626937,CERTAINTY,I know that the key to innovation is observing true customer pain points
95,0.18205142,2.5478241,FINANCIAL PERFORMANCE FIRST,"product roadmaps challenges by available spend, customer adaptability and use"
96,0.12776442,2.270136,CERTAINTY,what is the problem are we really solving? The roadmap should be what problems are we trying to solv...
97,5.2635655,3.4292796,ENTREPRENEUR,so who gets the profit out of that?
98,1.4635018,6.2202644,FINANCIAL PERFORMANCE FIRST,xylem thinks about hiow not to spend money and how to make money...how we can we get to 50% digital ...
99,3.0539575,4.45592,ENTREPRENEUR,breakthrough innovation here is incremental
100,8.268718,5.360678,ENTREPRENEUR,it is ok to take risk...its required
101,1.0283086,4.374955,CERTAINTY,I would link up with Amazon to get all our equipment on line…that wolud be most helpful for us
102,3.1589642,3.9944463,ENTREPRENEUR,my role is to run this little start up
103,1.2550584,5.7938056,CERTAINTY,"digital is just a tool….lets go out and find pay points…we're trying to push digital out, rather tha..."
104,2.8534472,4.2345495,ENTREPRENEUR,we largely focus on doing product development work and where there is a mechanism in place we do inn...
105,1.2087344,5.8198433,CERTAINTY,(beta vs vhs cartridge analogy)
106,5.3930097,3.5817962,FINANCIAL PERFORMANCE FIRST,people's happiness is equated with productivity and all of a sudden you get to the dollar
107,1.3405149,5.597275,FINANCIAL PERFORMANCE FIRST,we should be investing (much more) in digital..we are well below industry standards…we can't do it w...
108,3.588818,4.5363207,CERTAINTY,"we are not brave enough, we are too risk averse to say 'that needs to change' (stop doing local digi..."
109,1.1145588,7.561823,ENTREPRENEUR,At xylem we stop at the data or information stage
110,1.2886536,1.4136025,ENTREPRENEUR,strategy is often equated with plan
111,1.3117163,6.630703,CERTAINTY,"we need to look at the industrial systems…not in Xylem terms, but in customer problem terms…those th..."
112,8.259653,5.056962,ENTREPRENEUR,"you cannot have the normal procedures intruding on the (agile, entrepreuneial) approach because it r..."
113,11.367014,1.5521702,FINANCIAL PERFORMANCE FIRST,"integration with XYL - much harder, bc XYL spend on R&D is 3 and a bit"
114,3.4374921,4.489496,ENTREPRENEUR,it's not big picture stuff (we don't do big picture innovation)
