UMAP_1,UMAP_2,Dominant_Logic,Passage,Point_ID,Point_ID_Display,Display_Preview
0.42679194,0.09192612,ENTREPRENEUR,people got fed up and left,304a7ea0-7b8e-4f4c-9cb9-cba3a21e18e8,31,people got fed up and left
0.42163458,0.104287855,DOMINANT LOGICS (CULTURAL MODEL),"PASSAGE (assumption, belief, goal, idealization, metonymy) or DISCOURSE (paraphrased)",345276bb-1a26-47b1-b133-2cd916e05332,32,"PASSAGE (assumption, belief, goal, idealization, metonymy) o..."
0.4266405,0.11785109,CERTAINTY,there is no good or bad answer; it's just how you implement it (franchise vs centralized),358381d6-e51a-4e35-adb3-8cbaf48c4030,33,there is no good or bad answer; it's just how you implement ...
0.42698517,0.079798564,FIRST-HAND KNOWLEDGE,they (WI/Avensor) want to develop all the functionality themselves,38192597-8440-4b0f-9eeb-b959077aedf5,34,they (WI/Avensor) want to develop all the functionality them...
0.4180653,0.11331903,FINANCIAL PERFORMANCE FIRST,we have made a bet in our marketing plan…and then we'll see…but we need a little more slack capacity,39182a32-0ed9-4092-97f7-9e64f23beda5,35,we have made a bet in our marketing plan…and then we'll see…...
0.42449698,0.09055232,ENTREPRENEUR,…and it rubbed some people the wrong way (jealousy),395a2127-76bb-4f75-b96a-9093706fb024,36,…and it rubbed some people the wrong way (jealousy)
0.42248118,0.118132494,CERTAINTY,its how you solve those real problems…you need to live in the customer/user environment to figure that out,39d44308-929c-45f3-9fd2-081e3621ef86,37,its how you solve those real problems…you need to live in th...
0.41289985,0.11554974,CERTAINTY,"we need to be practical first; ask, 'why do you believe this can be sold again?'",39fb9847-4246-49d6-99a9-11704ad4ecca,38,"we need to be practical first; ask, 'why do you believe this..."
0.44545212,0.109498955,CERTAINTY,(2) ..instead we do a little bit of both,457c7fa6-db89-4116-bd35-d15e3a4818ad,39,(2) ..instead we do a little bit of both
0.41531855,0.10063369,FINANCIAL PERFORMANCE FIRST,"culture here is if i do it with my team i increase my budget, or if i let someone else do it I will lose my budget",46191181-5c52-4410-859b-7455bcdb82c8,40,culture here is if i do it with my team i increase my budget...
0.4137246,0.10229765,FINANCIAL PERFORMANCE FIRST,if I don't put it in the budget it won't get funded,4640cdbf-0173-4b67-8deb-5091befb365e,41,if I don't put it in the budget it won't get funded
0.40323246,0.088175945,CERTAINTY,if we did (get good customer pain point data) we would innovate more,46bb4868-7f68-4891-acdf-a14fcf3b23df,42,if we did (get good customer pain point data) we would innov...
0.39090693,0.074705586,CERTAINTY/FINANCIAL PERFORMANCE FIRST,we are losing the additional value we could be gaining with our customers (becaise we don't invest in new technolgies/solutions),47b16f9c-2c38-4f6d-a2de-a808cd856a0f,43,we are losing the additional value we could be gaining with ...
0.40947393,0.0907388,RULES,by looking at companies that use water source heat pumps we can put our circulaters into them… that's clean as a whistle.,484fb169-a004-4efb-b8b9-1f79a93c8255,44,by looking at companies that use water source heat pumps we ...
0.4338532,0.121808596,CERTAINTY,There are 3 different versions of need; NPD is the intersection of 3 segments (reuse example),4b39d9a4-6c7f-4d46-b526-771172d9582a,45,There are 3 different versions of need; NPD is the intersect...
0.41011614,0.11127385,FINANCIAL PERFORMANCE FIRST,"I'll try to get enough capacity so I can send people out…(Goulds story from younger days….""maybe it started with a particular problem…"" but also ask, ""what else is bigging you?"". By spending enough time with customers we would figure out is there a better way to do this?)",4b4dcbae-9f20-4e76-bf6a-4c8bc63cb8a9,46,I'll try to get enough capacity so I can send people out…(Go...
0.43928593,0.07953147,CERTAINTY,the way it has worked in the past doesn’t have to be the way it works today,4bc1d522-ecb0-4e0f-82b8-70454672a134,47,the way it has worked in the past doesn’t have to be the way...
0.38009197,0.089303896,FINANCIAL PERFORMANCE FIRST,you have to demonstrate Xylem value to drive change,4db689c8-d253-4ae4-a835-2255889118c4,48,you have to demonstrate Xylem value to drive change
0.4260715,0.10293214,FINANCIAL PERFORMANCE FIRST,"but even if we have a nice opportunity, we haven't really sent people out to the 10 top WSHP companies to understand how our product might be used…we haven't gotten that far…",4ff04c68-138b-4f4b-ae35-72bc8408ff75,49,"but even if we have a nice opportunity, we haven't really se..."
0.37858868,0.092407525,ENTREPRENEUR,what brings value to the customer? The xylem solutions stop at the problem stage. If I can show you the data you (customer) can come up with the solution yourself,500e2e06-d415-4c59-9d16-23a8a38e2618,50,what brings value to the customer? The xylem solutions stop ...
0.38526857,0.08451861,CERTAINTY,people want to engage with humans in a buying decision…the generation that has the buying power is used to buying that way…there is a social aspect to this,50c5889b-f4a2-436d-9ec9-483fb54202ec,51,people want to engage with humans in a buying decision…the g...
0.40844852,0.099404864,RULES,lets make ourselves more productive to free up the capital to go be faster on the things that matter,523d1aee-6171-4491-8157-ad82d130fa95,52,lets make ourselves more productive to free up the capital t...
0.4171926,0.062237784,LOCAL,we are innovative...and we feel left outside...because we are tainted by the mechanical legacy,5348147d-b72d-413d-918e-f8297a89888c,53,we are innovative...and we feel left outside...because we ar...
0.3867068,0.093206994,CERTAINTY,"we sprinkle out investment,  1M here, 1M there...",54fbe6ef-9a4f-49d8-9338-35914207fd8d,54,"we sprinkle out investment,  1M here, 1M there..."
0.4014188,0.10124523,FINANCIAL PERFORMANCE FIRST,The commercial teams are trying to meet today's sales and orders objectives. They are very near-term focused.,55f18c6a-b789-4e90-8287-87e06b8e5dca,55,The commercial teams are trying to meet today's sales and or...
0.42446133,0.063392475,ENTREPRENEUR,"trying to something radically different (to the norm), when you get down to it, is often really hard",5622a856-5ec5-4ee3-beed-8c8fe012ac2d,56,"trying to something radically different (to the norm), when ..."
0.4037731,0.10291543,CERTAINTY,"we need people who's full time job is to look at pain points…to see what the pain points really look like, by process or market segment…",5a0793ac-0e0d-46da-a992-4b535598cb5c,57,we need people who's full time job is to look at pain points...
0.4166354,0.11277025,ENTREPRENEUR,there are many reasons why our customers behave in an ineffective way…our solutuon may not be a magic wand…but can be a catalyst,5df07830-d920-49c0-a37b-a50ed6042e67,58,there are many reasons why our customers behave in an ineffe...
0.41621473,0.06353983,ENTREPRENEUR,the processes and traditions in XYL stand in the way of that (entrep and risk),5fd3322e-2a7b-4bd6-bde3-04cf8ee885ef,59,the processes and traditions in XYL stand in the way of that...
0.44794893,0.1181228,FINANCIAL PERFORMANCE FIRST,"we have to meet the quarter...which is pressure, so working the space you know (vs what you don't) is easier",61727164-90dd-4957-9bda-cb13f6c2e8eb,60,"we have to meet the quarter...which is pressure, so working ..."
0.41546413,0.07987015,CERTAINTY,eadh plant goes through their own process of selection...and it is very time consuming,63ecbd97-6da3-499b-8592-124708797cc9,61,eadh plant goes through their own process of selection...and...
0.40653756,0.09500224,CERTAINTY,how many future regulatory frameworks are coming and how do we optimize?,69391911-bf61-4ddf-ae6b-5f25547f963b,62,how many future regulatory frameworks are coming and how do ...
0.41335812,0.10504345,FINANCIAL PERFORMANCE FIRST,everybody wants their own budgets...we never think can we pull together to make the pie bigger...,6a9dec9c-b99a-47e2-a6fd-e47166566b02,63,everybody wants their own budgets...we never think can we pu...
0.41196385,0.10053042,FINANCIAL PERFORMANCE FIRST,if you don't get written in to budgets you don't sell any work no matter how hard you try,6c744585-39c5-4ccf-a458-690ac43d7b5f,64,if you don't get written in to budgets you don't sell any wo...
0.40888488,0.07438978,FINANCIAL PERFORMANCE FIRST,because yoy are a stockholder controlled unit…a lot of times we will tighten the belt around some of these things…these we try to put in place get pulled back,6dc0f549-1baf-4263-8267-99924f01e78a,65,because yoy are a stockholder controlled unit…a lot of times...
0.41802663,0.113870785,RULES,i dont think i've made the case on this thing…now that we are starting to catch up vs our competition…now maye we can have a few resources to go do this…,6e21f6cb-a6b3-4d5a-9033-9e6569f36567,66,i dont think i've made the case on this thing…now that we ar...
0.41817716,0.063719936,ENTREPRENEUR,the idea of doing something even if you didn't have the authority to do it is very much frowned upon inside XYL,7115446f-b1bc-4a66-9a3e-5ca5974a2f99,67,the idea of doing something even if you didn't have the auth...
0.41109797,0.08997042,FINANCIAL PERFORMANCE FIRST,we're still investing in fixed speed motors that only have a life of two or three years...we should get rid of them and invest in smaller more efficient motors...and be a bit bolder about it,71b7fdc3-191d-4ee6-b5a8-2b34f7737666,68,we're still investing in fixed speed motors that only have a...
0.40667376,0.10205243,(UNIQUE),"VOC can be misleading…we need to ask the next set of questions…we need to ask different kinds of question…e.g. the customer's real problem is storm water, not GPM",72c24c1a-192b-4403-b1f4-3a61856fb62b,69,VOC can be misleading…we need to ask the next set of questio...
0.4171745,0.082310565,FINANCIAL PERFORMANCE FIRST,making it better,7402ddcc-63a6-43dd-96e6-fc12c5640309,70,making it better
0.3738702,0.08152665,FIRST-HAND KNOWLEDGE,"from my point of view xylem has one bank account…i don't care about those divisions…others don't think like that (like me); they are thinking about their own little backyards, and that's where we lose quite a lot",74dfcc9d-81b9-420f-85e4-c86396e96d8e,71,from my point of view xylem has one bank account…i don't car...
0.4087002,0.09582668,CERTAINTY,in our space there are a lot more companies and so we can't dictate terms to the market…things can go in different directions…,750491bc-f76c-485a-a191-09c83f93f1f8,72,in our space there are a lot more companies and so we can't ...
0.41212592,0.08623322,ENTREPRENEUR,Simplify for Growth has tried to make some of those things easier,752d0d56-e51e-441c-b3d3-ddf52c4932ac,73,Simplify for Growth has tried to make some of those things e...
0.37150425,0.08786507,ENTREPRENEUR,"In Xylem, if I follow the process I've done my bit, I am not responsible",77346a79-b5d9-48c0-8737-93b898c6f174,74,"In Xylem, if I follow the process I've done my bit, I am not..."
0.41612944,0.09942423,CERTAINTY,what areas are likely to win out in climate change..and what products can we put in to that,7c003708-325f-4603-8845-7791d52a0607,75,what areas are likely to win out in climate change..and what...
0.37322053,0.07386959,EXPERIMENT AND ITERATE,Xylem is not willing to invest in innovation…there is no route to even small pots of money to try out ideas,7cb272f2-ebde-4955-b17d-99dff10d4000,76,Xylem is not willing to invest in innovation…there is no rou...
0.40657905,0.06276941,ENTREPRENEUR,we want to spread the cultural approach to innovation from here (Cambridge),7f072157-add8-46d6-a9cc-abc9063431d7,77,we want to spread the cultural approach to innovation from h...
0.4286866,0.0587778,ENTREPRENEUR,they (sr mgt) are so amazinglyt risk averse,830d8df7-57ed-422f-a108-7d79be9ee4a5,78,they (sr mgt) are so amazinglyt risk averse
0.41853514,0.048449017,ENTREPRENEUR,XPD is extremely prescripive and its all about managing the risk at product launch and to extent the financial risk...,8772310a-ef5a-42da-8fdf-f9dbec87973d,79,XPD is extremely prescripive and its all about managing the ...
0.441915,0.097695634,CERTAINTY,how slow we are in everything,8acd12b4-7a25-48c4-af51-199ea8b958a3,80,how slow we are in everything
0.41084936,0.114334844,ENTREPRENEUR,"starting point with product development is always telling the customer what the solution (i.e.how do we make the sensor better to create the data, etc)",8de3736b-55d5-434d-90c9-b23b81a35967,81,starting point with product development is always telling th...
0.38487455,0.07212823,FINANCIAL PERFORMANCE FIRST,how do you promise EBITDA growth if value (of our services) goes negative?,90a4434e-3c2f-4806-b5cb-5573b93d2baf,82,how do you promise EBITDA growth if value (of our services) ...
0.4116408,0.09330406,ENTREPRENEUR,"if it doesn’t work we shall make the pump better (response of product engineer in Sweden)…but if someone comes up with a better way…not moving water maybe (e.g.), then what?",90d89ec9-f452-4b25-b855-626a262efdde,83,if it doesn’t work we shall make the pump better (response o...
0.39722455,0.1087961,CERTAINTY,sales and marketing people. Don't look out much…they don't have a good view od what's out there...VOC not helpful,910919c0-08f0-4784-b0e1-d64ddb0c90a5,84,sales and marketing people. Don't look out much…they don't h...
0.40010244,0.11846354,FINANCIAL PERFORMANCE FIRST,the financial model is a proxy for many things -- how good is the idea; our ability to win; alignment to strategy,917bd41d-d02f-473e-94c4-6836021e8b74,85,the financial model is a proxy for many things -- how good i...
0.37429303,0.08122482,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,Xylem is a big company…Xylem is setting aside resources…Xylem Innovation Labs…that's (only) one piece of the innovation,94233790-fce3-4bfd-ba71-1f8daf47d825,86,Xylem is a big company…Xylem is setting aside resources…Xyle...
0.4549693,0.11419562,CERTAINTY,"what is my ""strike zone""?...",9572f222-52c2-49e1-a749-d8979d18f4f4,87,"what is my ""strike zone""?..."
0.4429352,0.12652068,FINANCIAL PERFORMANCE FIRST,"""do the math""",95a4e84c-be92-4929-9a87-368ee4249b10,88,"""do the math"""
0.37736288,0.08877838,ENTREPRENEUR,this is startup behavior.This is not xylem behavior.,96a70b52-f35e-4346-a7ee-f40d19958f93,89,this is startup behavior.This is not xylem behavior.
0.4207422,0.12480026,ENTREPRENEUR,now we have strategy review with Sai…,981d32b6-6ad9-428e-b4d5-2ddafe9ebc75,90,now we have strategy review with Sai…
0.42181274,0.11086755,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,let's have a little slack capacity we don't decide to throw out the first time the economy turns down,98cccee2-27b7-449a-ab68-c58856cc1ae8,91,let's have a little slack capacity we don't decide to throw ...
0.39121318,0.0925575,FINANCIAL PERFORMANCE FIRST,it’s a commitment to the long term…this has certainly showed up in some of the surveys…,9b4f7f76-66e7-4db4-a810-855efeeb46de,92,it’s a commitment to the long term…this has certainly showed...
0.4396257,0.08014924,CERTAINTY,there is a lack of acceptance for some projects not to work,9bfc8719-f0b9-4caa-8f9d-796ff7d52cac,93,there is a lack of acceptance for some projects not to work
0.42988187,0.09427178,THE SCIENTIFIC METHOD,I subsribe to Agile because it jells with my scientific background,9d7c57ea-084e-4e4c-b94c-539d3331c0e3,94,I subsribe to Agile because it jells with my scientific back...
0.3928198,0.103236176,FINANCIAL PERFORMANCE FIRST,in the long run everything comes down to money…everything will have monetary impact,a01f64f6-b378-43bd-b890-d74cf29d8926,95,in the long run everything comes down to money…everything wi...
0.4036922,0.11032614,CERTAINTY,managing the funnel and sending engineers out with sales people (if I had more resources),a0822a31-750b-49b3-a6df-38776986409b,96,managing the funnel and sending engineers out with sales peo...
0.37246537,0.08342496,CERTAINTY,"Xylem doesn’t move fast, and that's a problem",a1009646-901f-4dca-8eed-2d455f400fde,97,"Xylem doesn’t move fast, and that's a problem"
0.44033277,0.0761354,CERTAINTY,what works in one region doesn’t in another,a1c9bcc8-da79-48e7-a73e-5524730ffb40,98,what works in one region doesn’t in another
0.3960967,0.09410902,CERTAINTY,the world is moving quick; I would be trying to work on (ecommerce) faster,a24f950f-94d6-49f5-9ff7-802f9c42f0de,99,the world is moving quick; I would be trying to work on (eco...
0.4335912,0.08362277,(RULES),"we should trust our own people, and their decision making",a37fe59d-d350-4e86-b2bc-8562cf8d15b3,100,"we should trust our own people, and their decision making"
0.4067342,0.1089881,FINANCIAL PERFORMANCE FIRST,i don't have additional resources to get out in front of it (the customer's true pain points),a3934741-b616-4277-8c63-6c0a4b955ad5,101,i don't have additional resources to get out in front of it ...
0.4376712,0.08454095,RULES,The children need to resolve their own disputes (rather than go to Dad),a4a5556b-ab37-40c1-b545-a1258009ce10,102,The children need to resolve their own disputes (rather than...
0.41357186,0.10329212,CERTAINTY,we are in a bad hybrid situation... We need to decide...either become one company or not...or divide us...or have separate P&L for each...autonomy but strict control at the same time doesn’t work.,a5de92c6-a6c0-4bf6-a779-a40c0ffa6de9,103,we are in a bad hybrid situation... We need to decide...eith...
0.44378993,0.122642145,ENTREPRENEUR,the very honest answer is 'I have no idea….',a8a73aaf-9de3-4f0d-9ba2-38e7675b618f,104,the very honest answer is 'I have no idea….'
0.3864043,0.08617834,ENTREPRENEUR,the long term and most successful route is when the customer is buying the service,a9f5aa37-3459-4d1b-8bdb-d044515007f1,105,the long term and most successful route is when the customer...
0.37991685,0.08948738,CERTAINTY,"I can make the case that a 10-15M investment will give you 100M, but that is not a risk anyone will take. That is barely keeping is competititive",ae9b79ec-cd7e-48d1-8256-5a9b98818508,106,I can make the case that a 10-15M investment will give you 1...
0.40448853,0.09015423,RULES,"we are going to get more savings by managing processes, footprint, to fund innovation",aec404c1-d4b0-41e6-9e80-3780ea1aa3c5,107,"we are going to get more savings by managing processes, foot..."
0.44129413,0.07444337,CERTAINTY/FIRST-HAND KNOWLEDGE,"if I did this, they may might really like That…you have to be in it to figure it out",b2e70908-93a3-4d21-a818-4fd530079a89,108,"if I did this, they may might really like That…you have to b..."
0.4105237,0.066070475,ENTREPRENEUR,"it is much easier when you are a hardware pump company to create certainty, and a lot of the things they do are incremental",b319c03d-690c-4411-b701-1a914e71a95f,109,it is much easier when you are a hardware pump company to cr...
0.4115201,0.09634606,CERTAINTY,customer systems are the next stage for us to figure out innovative solutions…we're doing it this way today…is there a new way to do it (tomorrow)…(e.g.) maybe we can eliminate valves?,b997270d-053e-4931-b6ba-70e907f74a22,110,customer systems are the next stage for us to figure out inn...
0.41858378,0.10157541,CERTAINTY,I don't sell what we don't have,bbb36151-ac2d-43f7-8f06-c92aae22b166,111,I don't sell what we don't have
0.40240678,0.10141328,CERTAINTY,"even if you figure out what companies are the right ones to invest in, you still have to look at pain points",bc2ee83b-1308-4de1-8580-036b7cf5e2bf,112,even if you figure out what companies are the right ones to ...
0.37385106,0.08428195,FINANCIAL PERFORMANCE FIRST,no one wants to put any investment into something that doesn’t achieve a return in 12-24 months,bd284a3e-d018-4d7b-8abc-1e1568b41e2c,113,no one wants to put any investment into something that doesn...
0.4317449,0.0659338,CERTAINTY,...that's the risk / uncertainty... We don't dare to step outside normal ways of doing things,bd463bdd-9bb8-4c43-b818-434ed7d41637,114,...that's the risk / uncertainty... We don't dare to step ou...
0.41623116,0.08019646,FIRST-HAND KNOWLEDGE,nobody tells GCs not to spend money...i.e. Avensor,c19194a2-c09d-4bd3-96d8-84339d576f6b,115,nobody tells GCs not to spend money...i.e. Avensor
0.41621226,0.10276033,RULES,if we made ourselves more productive we may be able to take those solutions to the market,c40539db-1d5e-4347-b869-f981abf33203,116,if we made ourselves more productive we may be able to take ...
0.40641066,0.09830691,CERTAINTY,I'm not sure our markets are ready for 'I'm going to turn over my wastewater treatment plant to you and you optimize my cost for that…',c55fc7bb-7065-478e-96c6-9ec224896e0f,117,I'm not sure our markets are ready for 'I'm going to turn ov...
0.42074734,0.10820192,CERTAINTY,what are we missing in the unaddressd 5B? (we don't really know our markets),c8d342ab-df72-4709-b2da-eb57ec03a541,118,what are we missing in the unaddressd 5B? (we don't really k...
0.43539703,0.11615896,CERTAINTY,"you have to have a good spread across the whole lot (horizon 1, 2 and 3)",cb843bfb-dda9-451e-8319-01fa1846d0b4,119,you have to have a good spread across the whole lot (horizon...
0.42067397,0.10135306,FIRST-HAND KNOWLEDGE,everyone is always special...,cd0434c0-88e8-4f3c-86af-77ae451bfd57,120,everyone is always special...
0.41384292,0.117142834,ENTREPRENEUR,we can move the customer away from 'break-fix' because they don't have to be involved (in predictive solution),d034eaef-c20d-4b74-b7b3-354fed044530,121,we can move the customer away from 'break-fix' because they ...
0.41622537,0.10204697,CERTAINTY/FIRST-HAND KNOWLEDGE,Goulds was innovative: we were always talking to the maintenance people because they know what is really going on,d03b8bf5-f6f1-4455-88a7-7315145c157c,122,Goulds was innovative: we were always talking to the mainten...
0.42563105,0.05231001,ENTREPRENEUR,(operating within XPD) would not be beneficial for what we do,d0c1649e-68a5-4d0c-b7dc-24c9cc6635a9,123,(operating within XPD) would not be beneficial for what we d...
0.39220276,0.05023386,FINANCIAL PERFORMANCE FIRST/CERTAINTY,utilities are not seeking major innovation...if NPD makes only 50% of the business case...,d4acfca5-88f3-4b7d-ad76-13d9603e26e8,124,utilities are not seeking major innovation...if NPD makes on...
0.37498295,0.08018361,CERTAINTY,we need to have a digital enteroprise mentality from the top down,d5893fcb-c41e-4540-b27d-430db0acd96b,125,we need to have a digital enteroprise mentality from the top...
0.4342188,0.07346433,ENTREPRENEUR,I would have given them the authority,d5ddedaf-f0a0-401c-8dd0-54e2d4885348,126,I would have given them the authority
0.4022789,0.11069761,FINANCIAL PERFORMANCE FIRST/ CERTAINTY,marketingteams inside sales teams should be able to work with my team…and they don't have capacity either…you just have to invest! You need capacity to go take a look…,d726b7df-8819-4f14-a3dd-467374d2bca3,127,marketingteams inside sales teams should be able to work wit...
0.43647143,0.12376877,CERTAINTY,we need to pick the spot where we think (the need) is going to be real (real solutions),d7c8128e-45b5-48e8-be37-d0feeae44d52,128,we need to pick the spot where we think (the need) is going ...
0.40422857,0.0990854,CERTAINTY,I know that the key to innovation is observing true customer pain points,d9b8451b-69b0-4211-8ff4-a6a755403ebe,129,I know that the key to innovation is observing true customer...
0.41516703,0.06358607,CERTAINTY/FINANCIAL PERFORMANCE FIRST,we find ways to break processes inside XYL but most people are not willing to do that (story of buying single component on credit card),dad65c94-6aaa-494a-9a1d-946e05e1b2b0,130,we find ways to break processes inside XYL but most people a...
0.42569813,0.11465459,RULES,without an org structure in place to (mitigate) against different priorities,dd90722a-2b31-4877-92cd-445f5ac519e4,131,without an org structure in place to (mitigate) against diff...
0.42030674,0.11204773,FINANCIAL PERFORMANCE FIRST,"product roadmaps challenges by available spend, customer adaptability and use",ded03ee9-4aa3-4229-9965-2260e7860e20,132,"product roadmaps challenges by available spend, customer ada..."
0.42179793,0.11620512,CERTAINTY,what is the problem are we really solving? The roadmap should be what problems are we trying to solve for customers that they really value,df9051eb-80bf-406d-914f-5f581713e9b2,133,what is the problem are we really solving? The roadmap shoul...
0.4155083,0.100597605,UNK,we know climate change and energy efficiency are real needs,e1519a3a-fbea-4ffc-946b-1ffedd013be6,134,we know climate change and energy efficiency are real needs
0.3901953,0.10749598,ENTREPRENEUR,so who gets the profit out of that?,e1843f5e-dd2f-47e8-9fcb-e5e9cbdf9851,135,so who gets the profit out of that?
0.36764386,0.08329211,FINANCIAL PERFORMANCE FIRST,xylem thinks about hiow not to spend money and how to make money...how we can we get to 50% digital if we don't spend money...we have no chance of meeting that,e20dd037-f70b-43a9-b645-28c4b746067e,136,xylem thinks about hiow not to spend money and how to make m...
